p
"(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})-[:IN_GENRE]->(:Genre {name: Adventure})"
"(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})-[:IN_GENRE]->(:Genre {name: Animation})"
"(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})-[:IN_GENRE]->(:Genre {name: Children})"
"(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})-[:IN_GENRE]->(:Genre {name: Comedy})"
"(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})-[:IN_GENRE]->(:Genre {name: Fantasy})"
"(:Person {name: John Lasseter})-[:DIRECTED]->(:Movie {imdbRating: 8.3, id: 1, title: Toy Story, released: 1995-11-22})"
"(:Movie {imdbRating: 6.9, id: 2, title: Jumanji, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Adventure})"
"(:Movie {imdbRating: 6.9, id: 2, title: Jumanji, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Children})"
"(:Movie {imdbRating: 6.9, id: 2, title: Jumanji, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Fantasy})"
"(:Person {name: Joe Johnston})-[:DIRECTED]->(:Movie {imdbRating: 6.9, id: 2, title: Jumanji, released: 1995-12-15})"
"(:Movie {imdbRating: 6.6, id: 3, title: Grumpier Old Men, released: 1995-12-22})-[:IN_GENRE]->(:Genre {name: Comedy})"
"(:Movie {imdbRating: 6.6, id: 3, title: Grumpier Old Men, released: 1995-12-22})-[:IN_GENRE]->(:Genre {name: Romance})"
"(:Person {name: Howard Deutch})-[:DIRECTED]->(:Movie {imdbRating: 6.6, id: 3, title: Grumpier Old Men, released: 1995-12-22})"
"(:Movie {imdbRating: 5.6, id: 4, title: Waiting to Exhale, released: 1995-12-22})-[:IN_GENRE]->(:Genre {name: Comedy})"
"(:Movie {imdbRating: 5.6, id: 4, title: Waiting to Exhale, released: 1995-12-22})-[:IN_GENRE]->(:Genre {name: Romance})"
"(:Movie {imdbRating: 5.6, id: 4, title: Waiting to Exhale, released: 1995-12-22})-[:IN_GENRE]->(:Genre {name: Drama})"
"(:Person {name: Forest Whitaker})-[:DIRECTED]->(:Movie {imdbRating: 5.6, id: 4, title: Waiting to Exhale, released: 1995-12-22})"
"(:Person {name: Forest Whitaker})-[:ACTED_IN]->(:Movie {imdbRating: 5.8, id: 196, title: Species, released: 1995-07-07})"
"(:Movie {imdbRating: 5.9, id: 5, title: Father of the Bride Part II, released: 1995-12-08})-[:IN_GENRE]->(:Genre {name: Comedy})"
"(:Person {name: Charles Shyer})-[:DIRECTED]->(:Movie {imdbRating: 5.9, id: 5, title: Father of the Bride Part II, released: 1995-12-08})"
"(:Movie {imdbRating: 8.2, id: 6, title: Heat, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Action})"
"(:Movie {imdbRating: 8.2, id: 6, title: Heat, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Crime})"
"(:Movie {imdbRating: 8.2, id: 6, title: Heat, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Thriller})"
"(:Person {name: Michael Mann})-[:DIRECTED]->(:Movie {imdbRating: 8.2, id: 6, title: Heat, released: 1995-12-15})"
"(:Movie {imdbRating: 6.2, id: 7, title: Sabrina, released: 1995-12-15})-[:IN_GENRE]->(:Genre {name: Comedy})"
